symbol,name,n_mps,agg_current_value,stock_return_pct
NDTV,New Delhi Television Limited,1,18236,-66.7
PRINCEPIPE,Prince Pipes And Fittings Limited,1,9460,-55.3
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,1,29664,-39.4
PIIND,PI Industries Limited,1,101592,-22.4
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,1,552856,174.0
DOMS,DOMS Industries Limited,1,20310,16.2
ADANIGREEN,Adani Green Energy Limited,1,221530,-28.1
GSFC,Gujarat State Fertilizers & Chemicals Limited,1,164157,-19.5
ADFFOODS,ADF Foods Limited,1,37888,34.7
HOMEFIRST,Home First Finance Company India Limited,1,141050,32.6
ATGL,Adani Total Gas Limited,1,50997,-31.3
RELAXO,Relaxo Footwears Limited,1,48276,-63.2
SMCGLOBAL,SMC Global Securities Limited,1,217602,-18.5
HFCL,HFCL Limited,1,128088,38.2
SICALLOG,Sical Logistics Limited,1,80,-59.8
ESCORTS,Escorts Kubota Limited,1,328439,-22.3
APOLLOHOSP,Apollo Hospitals Enterprise Limited,1,36691710193,42.3
PTC,PTC India Limited,1,916570,-2.1
ANDHRSUGAR,The Andhra Sugars Limited,1,949711,-10.5
PRAENG,Prajay Engineers Syndicate Limited,1,7097034,-25.0
APOLSINHOT,Apollo Sindoori Hotels Limited,1,371040833,-33.3
SURYODAY,Suryoday Small Finance Bank Limited,1,15681,-17.3
ICICIGI,ICICI Lombard General Insurance Company Limited,1,1884181,13.0
TTML,Tata Teleservices (Maharashtra) Limited,1,881923,-43.6
MFSL,Max Financial Services Limited,1,877751,71.6
VOLTAS,Voltas Limited,1,1183015,-7.9
GRASIM,Grasim Industries Limited,1,141039,30.8
ANANTRAJ,Anant Raj Limited,1,4547544,36.8
FINCABLES,Finolex Cables Limited,1,1452110,-26.3
ABB,ABB India Limited,1,5942460,-17.3
IOC,Indian Oil Corporation Limited,1,232276,-6.9
CENTENKA,Century Enka Limited,1,81738,-9.9
AROGRANITE,Aro Granite Industries Limited,1,8116,-51.9
GFLLIMITED,GFL Limited,1,232548,-38.4
MAXIND,Max India Limited,1,12692,-43.0
ALEMBICLTD,Alembic Limited,1,252198,-8.3
RAJRILTD,Raj Rayon Industries Limited,1,10476,-7.9
MAXHEALTH,Max Healthcare Institute Limited,1,540010,30.9
LIBERTSHOE,Liberty Shoes Limited,1,622658,-19.8
KEC,KEC International Limited,1,349618,-35.1
KIRLOSBROS,Kirloskar Brothers Limited,1,449382,-0.3
PGHH,Procter & Gamble Hygiene and Health Care Limited,1,12003461,-36.9
RSWM,RSWM Limited,1,14177,-5.5
HEMIPROP,Hemisphere Properties India Limited,1,144519,-27.6
ZENSARTECH,Zensar Technologies Limited,1,119931,-18.8
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,1,359134,-3.7
DBREALTY,Valor Estate Limited,1,3255611,-41.7
SJS,S.J.S. Enterprises Limited,1,44622,172.1
MRF,MRF Limited,1,12770526,-1.3
RTNPOWER,RattanIndia Power Limited,1,47077,-44.9
SUPERSPIN,Super Spinning Mills Limited,1,5286,-28.4
ACC,ACC Limited,1,911270,-46.7
ABFRL,Aditya Birla Fashion and Retail Limited,1,1513409,-76.3
WELCORP,Welspun Corp Limited,1,3604187,115.1
PATINTLOG,Patel Integrated Logistics Limited,1,119323,-42.5
DHANBANK,Dhanlaxmi Bank Limited,1,96375,-18.0
KARURVYSYA,Karur Vysya Bank Limited,1,33625826,78.2
TERASOFT,Tera Software Limited,1,272490,435.2
TARC,TARC Limited,1,1187984,-23.9
GRAPHITE,Graphite India Limited,1,64463,36.2
RECLTD,REC Limited,1,1096753,-36.1
EIHOTEL,EIH Limited,1,675582,-25.1
COLPAL,Colgate Palmolive (India) Limited,1,8812645,-17.6
DCMNVL,DCM Nouvelle Limited,1,1468270,-25.9
POWERINDIA,Hitachi Energy India Limited,1,5372907,240.8
RAMCOCEM,The Ramco Cements Limited,1,3900066,20.5
GRINDWELL,Grindwell Norton Limited,1,3527609,-17.5
SUNPHARMA,Sun Pharmaceutical Industries Limited,1,13657403,30.4
RTNINDIA,RattanIndia Enterprises Limited,1,45696,-55.6
NCC,NCC Limited,1,4043464,-46.8
OAL,Oriental Aromatics Limited,1,16488,-15.8
WSTCSTPAPR,West Coast Paper Mills Limited,1,1208978,-19.5
HINDWAREAP,Hindware Home Innovation Limited,1,167445,-43.6
PARSVNATH,Parsvnath Developers Limited,1,8960,-66.7
CARBORUNIV,Carborundum Universal Limited,1,1671931,-33.0
ELECTCAST,Electrosteel Castings Limited,1,272436,-53.1
SSWL,Steel Strips Wheels Limited,1,692,-1.1
DISHTV,Dish TV India Limited,1,9718,-78.1
MCLEODRUSS,Mcleod Russel India Limited,1,12315,183.6
RHIM,RHI MAGNESITA INDIA LIMITED,1,1514503,-39.5
BSL,BSL Limited,1,709,-29.1
GAIL,GAIL (India) Limited,1,1485288,-14.7
SPLPETRO,Supreme Petrochem Limited,1,3368811,5.5
APLLTD,Alembic Pharmaceuticals Limited,1,1195861,-17.7
SIGNPOST,Signpost India Limited,1,34772,7.9
3IINFOLTD,3i Infotech Limited,1,3740,-53.3
EIHAHOTELS,EIH Associated Hotels Limited,1,2160592,-6.7
