candidate_id,mp_name,party,kind,symbol_or_code,security_name,owner,declared_value,current_value,return_pct
4427,AMIT SHAH,BJP,equity,TATACHEM,Tata Chemicals Limited,self,1190322,838013,-29.6
4427,AMIT SHAH,BJP,equity,AHLUCONT,Ahluwalia Contracts (India) Limited,self,1178540,746970,-36.6
4427,AMIT SHAH,BJP,equity,WALCHANNAG,Walchandnagar Industries Limited,self,723432,745714,3.1
4427,AMIT SHAH,BJP,equity,TCS,Tata Consultancy Services Limited,spouse,1158712,740664,-36.1
4427,AMIT SHAH,BJP,equity,ARVIND,Arvind Limited,self,548712,735975,34.1
4427,AMIT SHAH,BJP,equity,TTML,Tata Teleservices (Maharashtra) Limited,self,1296250,731351,-43.6
4427,AMIT SHAH,BJP,equity,EIHOTEL,EIH Limited,self,901921,675582,-25.1
4427,AMIT SHAH,BJP,equity,WELENT,Welspun Enterprises Limited,self,572040,660759,15.5
4427,AMIT SHAH,BJP,equity,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,self,717675,581205,-19.0
4427,AMIT SHAH,BJP,equity,MAXHEALTH,Max Healthcare Institute Limited,self,412508,540010,30.9
4427,AMIT SHAH,BJP,equity,AGI,AGI Greenpac Limited,spouse,603037,536011,-11.1
4427,AMIT SHAH,BJP,equity,BAJAJELEC,Bajaj Electricals Limited,self,1437360,521950,-63.7
4427,AMIT SHAH,BJP,equity,SUZLON,Suzlon Energy Limited,self,407500,494934,21.5
4427,AMIT SHAH,BJP,equity,NAVINFLUOR,Navin Fluorine International Limited,self,227132,484406,113.3
4427,AMIT SHAH,BJP,equity,ANUP,The Anup Engineering Limited,self,401334,477171,18.9
4427,AMIT SHAH,BJP,equity,NSLNISP,NMDC Steel Limited,self,651035,474348,-27.1
4427,AMIT SHAH,BJP,equity,BHARTIHEXA,Bharti Hexacom Limited,spouse,293420,465363,58.6
4427,AMIT SHAH,BJP,equity,TATAPOWER,Tata Power Company Limited,self,492024,464721,-5.5
4427,AMIT SHAH,BJP,equity,KIRLOSBROS,Kirloskar Brothers Limited,self,450549,449382,-0.3
4427,AMIT SHAH,BJP,equity,IFCI,IFCI Limited,spouse,420000,447804,6.6
4427,AMIT SHAH,BJP,equity,ABFRL,Aditya Birla Fashion and Retail Limited,self,1795449,424939,-76.3
4427,AMIT SHAH,BJP,equity,SOUTHBANK,The South Indian Bank Limited,self,277500,422181,52.1
4427,AMIT SHAH,BJP,equity,LIBERTSHOE,Liberty Shoes Limited,spouse,465750,373595,-19.8
4427,AMIT SHAH,BJP,equity,SHAHALLOYS,Shah Alloys Limited,self,297000,360766,21.5
4427,AMIT SHAH,BJP,equity,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,self,372831,359134,-3.7
4427,AMIT SHAH,BJP,equity,KEC,KEC International Limited,self,538636,349618,-35.1
4427,AMIT SHAH,BJP,equity,RELIANCE,Reliance Industries Limited,spouse,342769,323016,-5.8
4427,AMIT SHAH,BJP,equity,PFIZER,Pfizer Limited,self,287549,304844,6.0
4427,AMIT SHAH,BJP,equity,TERASOFT,Tera Software Limited,self,50910,272490,435.2
