mp_name,raw_name,declared_value,match_symbol,match_name,score
ANURAG SHARMA,Envesko India Growth Opportunity Fund Share No 1xxxxx.549,980296,SHAREINDIA,Share India Securities Limited,0.6666666666666666
JAGDAMBIKA PAL,Investment With Anand Rathi,900000,ANANDRATHI,Anand Rathi Wealth Limited,0.6666666666666666
RACHNA BANERJEE,National Highway Authority of India,885000,NATIONSTD,National Standard (India) Limited,0.6666666666666666
ANURAG SHARMA,Invesko India Growth Opportunity Share No 1xxxxx.486,848491,SHAREINDIA,Share India Securities Limited,0.6666666666666666
DAYANIDHI MARAN,2346 Equity Shares with JIO Financial Services Limited Market Value at Rs 352.55 per share as on 19-03-2024,827082,JIOFIN,Jio Financial Services Limited,1.0
DAYANIDHI MARAN,2346 Equity Shares with JIO Financial Services Limited Market Value at Rs 352.55 per share as on 19-03-2024,827082,JIOFIN,Jio Financial Services Limited,1.0
DAYANIDHI MARAN,6000 Equity Shares with Indian Energy Exchange Ltd Market Value at Rs 136.40 per share as on 19-03-2024,818400,IEX,Indian Energy Exchange Limited,1.0
DAYANIDHI MARAN,6000 Equity Shares with Indian Energy Exchange Ltd Market Value at Rs 136.40 per share as on 19-03-2024,818400,IEX,Indian Energy Exchange Limited,1.0
SELJA,Sun Pharmaceutical Ind Ltd-500,811125,SUNPHARMA,Sun Pharmaceutical Industries Limited,0.6666666666666666
RACHNA BANERJEE,India Infrastructure Finance company ltd,800000,APTUS,Aptus Value Housing Finance India Limited,0.6666666666666666
PRATAP CHANDRA SARANGI,"SBI, New Delhi 69 A/c384903080",793818,NDTV,New Delhi Television Limited,0.6666666666666666
MUHAMMED HAMDULLAH SAYEED,Mutul fund Aditya Birla SL Corporate,766522,ABCAPITAL,Aditya Birla Capital Limited,0.6666666666666666
ARUN NEHRU,Aurobindo Pharma Ltd,754432,AUROPHARMA,Aurobindo Pharma Limited,1.0
ANURAG SHARMA,SBI INDIA Share No. - 1000,752350,SHAREINDIA,Share India Securities Limited,0.6666666666666666
ANURAG SHARMA,SBI INDIA Share No. - 1000,752350,SHAREINDIA,Share India Securities Limited,0.6666666666666666
MAHUA MOITRA,3672.979 units of SBI Blue Chip Fund - Regular Plan-Growth,743035,BLUECHIP,Blue Chip India Limited,0.6666666666666666
T R BAALU,"No.Of Shares-71000,M/s Kings India Power Corporation Ltd",710000,GVPIL,GE Power India Limited,1.0
SRIBHARAT MATHUKUMILI,VBC Ferro Alloys Ltd,700000,IMFA,Indian Metals & Ferro Alloys Limited,0.6666666666666666
ANURAG SHARMA,Invesko India Infa. Mutual Fund Share No 1xxxxx,683500,SHAREINDIA,Share India Securities Limited,0.6666666666666666
DR. HEMANG JOSHI,State Bank of India Mutual Fund,680685,BANKINDIA,Bank of India,1.0
OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,"Stock Invested in Credo Brans Marketing Limited Invested Amount Rs. 10,00,851/-",664506,MUFTI,Credo Brands Marketing Limited,0.6666666666666666
C R PATIL,State Bank of India Magnum Midcap Fund,659967,BANKINDIA,Bank of India,1.0
DAYANIDHI MARAN,2450 Equity shares with Crompton Greaves Consumer Electricals Limited Market Value at Rs 267 per share as on 19-03-2024,654150,CROMPTON,Crompton Greaves Consumer Electricals Limited,1.0
DINESHBHAI MAKWANA (ADVOCATE),Indiabulls Housing Finance Ltd 3625,610088,AADHARHFC,Aadhar Housing Finance Limited,0.6666666666666666
JASWANTSINH SUMANBHAI BHABHOR,State Bank of India Mutual Fund,594784,BANKINDIA,Bank of India,1.0
JUNE MALIAH,"Investment in Mutual Funds as on 31st March, 2024: Aditya Birla SL Flexi Cap Fund, No of Units - 393.2710, Purchase Value-349996/-",587841,ABCAPITAL,Aditya Birla Capital Limited,0.6666666666666666
POONAMBEN HEMATBHAI MAADAM,Shares of Maruti Suzuki,571451,MARUTI,Maruti Suzuki India Limited,0.6666666666666666
SUPRIYA SULE,M&M Financial Services Ltd 2000,566800,AFSL,Abans Financial Services Limited,0.6666666666666666
PIYUSH GOYAL,Kabra Extrusion Technique Ltd 1853 Shares,544875,KABRAEXTRU,Kabra Extrusion Technik Limited,0.6666666666666666
T R BAALU,"Mrs.B.Renuka Devi,No.Of Shares-108480,M/s Kings India Chemical Corporation Ltd.",542400,SUMICHEM,Sumitomo Chemical India Limited,0.6666666666666666
DINESHBHAI MAKWANA (ADVOCATE),Nippon India Retirement Fund 21082.729,527998,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
LAVU SRIKRISHNA DEVARAYALU,Aditya Birla Mutual fund,500000,ABCAPITAL,Aditya Birla Capital Limited,0.6666666666666666
MAGUNTA SREENIVASULU REDDY,RBF Home Finance Ltd,500000,HOMEFIRST,Home First Finance Company India Limited,0.6666666666666666
HARIBHAI PATEL,HDFC Bank Mutual Fund,471440,HDFCBANK,HDFC Bank Limited,1.0
OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,"Stcok Invested in Gandhar Oil Refinery (India) Limited Invested Amount Rs. 5,58,878/-",461475,GANDHAR,Gandhar Oil Refinery (India) Limited,1.0
DR. AMOL RAMSING KOLHE,State Bank of India Mutual Funds,430415,BANKINDIA,Bank of India,1.0
NARESH GANPAT MHASKE,Nippon India Growth Mutual Fund SIP,423155,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
SUPRIYA SULE,Fortis Health Care Ltd 1000,408000,AGARWALEYE,Dr. Agarwal's Health Care Limited,0.6666666666666666
LAVU SRIKRISHNA DEVARAYALU,Aditya Birla Mutual fund,400000,ABCAPITAL,Aditya Birla Capital Limited,0.6666666666666666
DINESHBHAI MAKWANA (ADVOCATE),Indiabulls Housing Finance Ltd 2300,387090,AADHARHFC,Aadhar Housing Finance Limited,0.6666666666666666
ADV K FRANCIS GEORGE,BIPZZ India Technologies Investment,380000,CAPILLARY,Capillary Technologies India Limited,0.6666666666666666
RAKIBUL HUSSAIN,"500 Equity Shares with State Bank of India, dtd.01.07.1994 Cost Rs.5000/-",376175,BANKINDIA,Bank of India,1.0
AMIT SHAH,Arvind Fashions Limited (Formerly Arvind J&M Limited) Q. 797 Rate. 446.80,356099,ARVINDFASN,Arvind Fashions Limited,1.0
ARUN NEHRU,360 ONE WAM LTD. PREV. IIFL WEALTH LTD,351675,360ONE,360 ONE WAM LIMITED,1.0
TATKARE SUNIL DATTATREY,Chambal Fertilizers 1000,342000,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,0.6666666666666666
NARESH GANPAT MHASKE,Canara Robeco Blue Chip Mutual Fund SIP,332869,BLUECHIP,Blue Chip India Limited,0.6666666666666666
RAHUL GANDHI,Vmy Chemicals (India) LTD Share 960,324240,SHAREINDIA,Share India Securities Limited,0.6666666666666666
AMIT SHAH,Gvk Power & Infrastructure Limited Q. 30000 Rate. 10.40,312000,GVKPIL,GVK Power & Infrastructure Limited,1.0
OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,"Stock Invested in Equitas Small Finance Bank Ltd Invested Amount Rs. 3,40,079/-",301620,AUBANK,AU Small Finance Bank Limited,1.0
LAVU SRIKRISHNA DEVARAYALU,Nippon India Mutual Fund,300000,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
RACHNA BANERJEE,Axis Blue Chip fund,268931,BLUECHIP,Blue Chip India Limited,0.6666666666666666
CAPTAIN VIRIATO FERNANDES,SBI Scheme Type-Health Care opportunities Fund Regular Growth Folio-15384456,253795,AGARWALEYE,Dr. Agarwal's Health Care Limited,0.6666666666666666
ESWARASAMY K,Sri Surya Paper Boards (2500 Equity Shares * 100),250000,GENUSPAPER,Genus Paper & Boards Limited,0.6666666666666666
ESWARASAMY K,Sri Surya Paper Boards(2500 Equity Shares * 100),250000,GENUSPAPER,Genus Paper & Boards Limited,0.6666666666666666
DINESHBHAI MAKWANA (ADVOCATE),Indiabulls Housing Finance Ltd Partly Paidup 2959,249888,AADHARHFC,Aadhar Housing Finance Limited,0.6666666666666666
DULU MAHATO,Mutual Fund in Aditya Birla SIP (Folio) No 103785xxxxx,227357,ABCAPITAL,Aditya Birla Capital Limited,0.6666666666666666
RAVINDRA SHUKLA ALIAS RAVI KISHAN,"Nippon India Growth Fund, Rs. 30000",226868,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
AJAY BHATT,Nippon India multicap fund,222301,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
SUPRIYA SULE,Crompton Greaves Consumer Elec Ltd 750,218250,CROMPTON,Crompton Greaves Consumer Electricals Limited,0.75
RAVIKUMAR. D,Geojit Financial Services Ltd Mututal Fund,214722,GEOJITFSL,Geojit Financial Services Limited,1.0
AJAY BHATT,Nippon India Largecap fund,200122,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
G M HARISH (BALAYOGI),Krishna Institute Of Medical Science Limited 90 Equilty Shares,175149,KIMS,Krishna Institute of Medical Sciences Limited,0.75
AJAY BHATT,Nippon India Equity Hybrid Fund,170275,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
BRIJENDRA SINGH OLA,Tata Consultancy-1(40),165936,TCS,Tata Consultancy Services Limited,1.0
DINESHBHAI MAKWANA (ADVOCATE),Indiabulla Housing Finance Ltd Partly Paidup 1877,158513,AADHARHFC,Aadhar Housing Finance Limited,0.6666666666666666
ARUN NEHRU,NIIT LEARNING AERONAUTICS LTD,158357,NIITMTS,NIIT Learning Systems Limited,0.6666666666666666
T R BAALU,"No.Of Shares-31200,M/s Kings India Chemical Corporation Ltd.",156000,SUMICHEM,Sumitomo Chemical India Limited,0.6666666666666666
ANURAG SHARMA,India Airtel LTD. Right Issue Share No. - 183,150399,SHAREINDIA,Share India Securities Limited,0.6666666666666666
ANURAG SHARMA,INDIA AIRTEL LTD. RIGHT ISSUE Share No. - 183,150399,SHAREINDIA,Share India Securities Limited,0.6666666666666666
BRIJENDRA SINGH OLA,Tata Consultancy-1(36),149342,TCS,Tata Consultancy Services Limited,1.0
DULU MAHATO,Mutual Fund in Aditya Birla SIP Folio No 103785xxxxx,148506,ABCAPITAL,Aditya Birla Capital Limited,0.6666666666666666
CHAVAN RAVINDRA VASANTRAO,"SBI Parliament New Delhi No 4304281xxxxx, Rs. 537502, (25% - Inherited from father)",134375,NDTV,New Delhi Television Limited,0.6666666666666666
SUPRIYA SULE,JSW Infrastructure Ltd 500,128250,JSWINFRA,JSW Infrastructure Limited,1.0
AMIT SHAH,Heubach Colorants India Limited Q. 270 Rate. 469.30,126711,SUDARCOLOR,Sudarshan Colorants India Limited,0.6666666666666666
AMIT SHAH,Reliance Infrastructure Limited Q. 590 Rate. 199.95,117970,RIIL,Reliance Industrial Infrastructure Limited,0.6666666666666666
BRIJENDRA SINGH OLA,(35)Jio Financial EQ(356),116839,JIOFIN,Jio Financial Services Limited,0.6666666666666666
DINESHBHAI MAKWANA (ADVOCATE),HBL Power Systems Ltd 234,106353,TDPOWERSYS,TD Power Systems Limited,1.0
SUDHEER GUPTA,Share Jio Finance Service at Tata Motors ITC Reliance Industries,101452,RELIANCE,Reliance Industries Limited,1.0
T R BAALU,"No.Of Shares-10000,M/s Kings India Power Corporation Ltd",100000,GVPIL,GE Power India Limited,1.0
MAGUNTA SREENIVASULU REDDY,Global Alcobev Marketing Enterprises Capital,99000,CGCL,Capri Global Capital Limited,0.6666666666666666
SELJA,Power Grid Corportion-354,98961,POWERGRID,Power Grid Corporation of India Limited,0.6666666666666666
ARVIND DHARMAPURI,Equity Share in Aris Natural Resources,90000,GNRL,Gujarat Natural Resources Limited,0.6666666666666666
DR. SHARMILA SARKAR,FSN Ecommerce Ventures Nykaa,86900,NYKAA,FSN E-Commerce Ventures Limited,0.6666666666666666
JUNE MALIAH,"Aditya Birla SL Savings Fund, Number of Units - 166.9580, Purchase Value-79214/-",83248,ABCAPITAL,Aditya Birla Capital Limited,0.6666666666666666
CAPTAIN VIRIATO FERNANDES,Aditya Birla Sunlife Scheme Type-Digital India Fund Growth Direct Plan Folio-1017455087,77627,ABCAPITAL,Aditya Birla Capital Limited,0.6666666666666666
DR. HEMANG JOSHI,Axis Bank Mutual Fund 901 Unit,76312,AXISBANK,Axis Bank Limited,1.0
OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,"SBI Blue Chip Fund (G) Invested Amount Rs. 54,997.22",74411,BLUECHIP,Blue Chip India Limited,0.6666666666666666
BRIJENDRA SINGH OLA,(30)Indian Railway-EQ(575),71415,IRCTC,Indian Railway Catering And Tourism Corporation Limited,0.6666666666666666
BRIJENDRA SINGH OLA,Indian Railway-EQ(575),71415,IRCTC,Indian Railway Catering And Tourism Corporation Limited,0.6666666666666666
UJJWAL RAMAN SINGH,Rattan India Power Ltd. Eq.8000,71200,GVPIL,GE Power India Limited,1.0
AMIT SHAH,Indiabulls Real Estate Limited Q. 500 Rate. 131.40,65700,TREL,Transindia Real Estate Limited,0.6666666666666666
SUPRIYA SULE,Britannia Industries Ltd FIB 2000,59720,BRITANNIA,Britannia Industries Limited,1.0
ESWARASAMY K,Pavathal Green energy (5000 Equity Shares * 10),50000,ADANIGREEN,Adani Green Energy Limited,0.6666666666666666
BRIJENDRA SINGH OLA,Dabur India(RE-1)(95),49357,DABUR,Dabur India Limited,1.0
NAVEEN JINDAL,Siemens Energy AG,49000,ENRIN,Siemens Energy India Limited,1.0
NAVEEN JINDAL,Siemens Energy AG,49000,ENRIN,Siemens Energy India Limited,1.0
BRIJENDRA SINGH OLA,Tata Consumer Eq1-(40),47146,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,0.6666666666666666
BRIJENDRA SINGH OLA,Tata Consumer Eq1-(40),47146,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,0.6666666666666666
BRIJENDRA SINGH OLA,(18)Dabur India(RE-1)(90),46759,DABUR,Dabur India Limited,1.0
BHAGIRATH CHOUDHARY,Nesitle India Companay SHare 18,46213,SHAREINDIA,Share India Securities Limited,0.6666666666666666
DINESHBHAI MAKWANA (ADVOCATE),HBL Power Systems Ltd 100,45450,TDPOWERSYS,TD Power Systems Limited,1.0
DINESHBHAI MAKWANA (ADVOCATE),Himadri Specialty Chemical Ltd 150,45248,HSCL,Himadri Speciality Chemical Limited,0.6666666666666666
DINESHBHAI MAKWANA (ADVOCATE),Himadri Specialty Chemical Ltd 150,45248,HSCL,Himadri Speciality Chemical Limited,0.6666666666666666
DR. HEMANG JOSHI,Ratan India Power Ltd Share-5310,43808,GVPIL,GE Power India Limited,1.0
SUPRIYA SULE,United Breweries Holding Ltd 4000,40000,UBL,United Breweries Limited,1.0
AMIT SHAH,Pasari Spinning Mills Limited Q. 5000 Rate. 7.88,39400,NAHARSPING,Nahar Spinning Mills Limited,0.6666666666666666
OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Stock Invested in RBL Bank Invested Amount Rs. 80584.29,38737,RBLBANK,RBL Bank Limited,1.0
DHARMENDRA YADAV,Shri radhe krishna Agrifood,33340,SHRIKRISH,Shri Krishna Devcon Limited,0.6666666666666666
BRIJENDRA SINGH OLA,(46)Nestle India Ltd(12),31001,NESTLEIND,Nestle India Limited,1.0
ARUN BHARTI,Nippon India ETF No-INF200K0VT2,28338,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
ARUN BHARTI,Nippon India PSU No-INF204KB1617,26578,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
ARUN BHARTI,Nippon India PSU No-INF204KB1617,26578,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
ARUN BHARTI,Nippon India Nifty150 No-INF204KB1V60,26193,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
ARUN BHARTI,Nippon India Nifty150 No-INF204KB1V60,26193,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
KHALILUR RAHAMAN,Kotak Mahindra Infra Fund Units 2500,25000,KOTAKBANK,Kotak Mahindra Bank Limited,0.6666666666666666
SHRIPAD YESSO NAIK,Oil and Natural GAs Corporation 90 Equity Shares Cost On-31-03-2024 For Rs-45000 Market VAlue as On 10-04-2024,24331,ONGC,Oil & Natural Gas Corporation Limited,0.75
ANURAG SHARMA,INDIA OVERSEAS BANK Share No. - 400,23980,BANKINDIA,Bank of India,1.0
OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,"Stock Invested in Jaiprakash Power Ventures Ltd. Invested Amount Rs. 19,645.99",22685,JPPOWER,Jaiprakash Power Ventures Limited,1.0
VIVEK THAKUR,21 shares of Mrs Bectors,22166,BECTORFOOD,Mrs. Bectors Food Specialities Limited,1.0
OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,"Stock Invested in Morepen Laboratories Ltd Invested Amount Rs. 24,197.41/-",20295,MOREPENLAB,Morepen Laboratories Limited,1.0
MANISH JAISWAL,"Bonds, Canara Bank 80CC, 2000 Units",20000,CANBK,Canara Bank,1.0
ANAND KUMAR,Adani Green 20 Unit,19560,ADANIGREEN,Adani Green Energy Limited,1.0
ARUN BHARTI,Nippon India Nifty150 No-INF204KB1V60,18892,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
