amfi_code,scheme_name,n_mps,agg_current_value,fund_return_pct
152196,Bajaj Finserv Balanced Advantage Fund-Regular Plan-Growth,1,1066615,2.5
151289,HSBC Multi Cap Fund - Regular - Growth,1,1708347,9.6
118678,Nippon India Vision Large & Mid Cap Fund - Direct Plan Growth Plan - Growth Option,1,596553,10.6
103159,Tata Treasury Advantage Fund - Regular Plan - Growth Option,1,592306,13.5
120577,SBI TECHNOLOGY OPPORTUNITIES FUND - REGULAR PLAN - GROWTH,1,5744454,7.6
133858,SBI BANKING & FINANCIAL SERVICES FUND - REGULAR PLAN - GROWTH,1,504064,17.5
148610,HDFC Dividend Yield Fund - Growth Plan,1,1634652,1.4
133866,NIPPON INDIA ELSS TAX SAVER FUND - ANNUAL IDCW Option,1,267428,-7.7
136090,HDFC Retirement Savings Fund - Equity Plan - Growth Option,1,2243788,1.1
101525,HDFC Nifty 50 Index Fund - Growth Plan,1,1011634,3.3
152106,Motilal Oswal Nifty 500 ETF,1,205458,5.4
103085,Nippon India Value Fund- Growth Plan,1,9883,4.8
142035,Union Balanced Advantage Fund - Regular Plan - Growth Option,1,2273343,3.9
135790,TATA Banking & Financial Services Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option,1,175630,11.5
103819,DSP Large & Mid Cap Fund - Regular Plan - Growth,1,292850,6.7
114931,Mirae Asset Great Consumer Fund - Regular Plan - Growth option,1,739636,4.2
100684,UTI Aggressive Hybrid Fund - Regular Plan - Growth,1,619940,8.5
151124,HSBC Aggressive Hybrid Fund - Regular Annual IDCW,1,395563,-10.1
148160,PGIM India Money Market Fund - Regular Plan - Daily Dividend Option,1,3,0.2
151729,HDFC BSE 500 Index Fund - Regular Plan - Growth Option,1,973349,2.9
149599,Sundaram Aggressive Hybrid Fund (Formerly Known as Principal Hybrid Equity Fund)-Growth,1,1735050,5.2
102020,Baroda BNP Paribas MULTI CAP FUND - Regular Plan - Growth Option,1,325139,6.9
100356,ICICI Prudential Equity & Debt Fund - Growth,1,3630211,12.6
100078,DSP Bond Fund - Growth,1,720833,12.9
150260,Baroda BNP Paribas Aggressive Hybrid Fund- DIRECT PLAN - GROWTH OPTION,1,3290330,9.2
103145,SBI COMMA Fund - REGULAR PLAN - Growth,1,617588,16.4
141224,Mahindra Manulife Multi Cap Fund - Regular Plan - Growth,1,1127461,9.7
148571,Mahindra Manulife Focused Fund - Regular Plan - Growth,1,984715,4.6
135321,UTI BSE Sensex ETF,1,15306,0.6
121109,SBI BSE SENSEX ETF,1,70714,0.6
104481,DSP Midcap Fund - Regular Plan - Growth,1,17311672,11.7
101993,HDFC Money Market Fund - Growth Option,1,4717199,14.0
117560,Axis Focused Fund - Regular Plan - Growth Option,1,1663051,2.0
100299,Kotak Bond Fund - Regular Plan Growth,1,32780962,9.6
151048,HSBC Money Market Fund - Regular Growth,1,5863232,13.8
147477,Kotak Focused Fund- Regular plan _ Growth Option,1,11536127,11.8
